City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,82.45,69,100,3.44,overcast clouds
80,Qaanaaq,GL,77.484,-69.3632,15.71,88,47,3.62,scattered clouds
81,Hermanus,ZA,-34.4187,19.2345,58.8,92,89,2.68,light rain
82,Dikson,RU,73.5069,80.5464,19.74,96,83,4.65,broken clouds
83,Narsaq,GL,60.9167,-46.05,44.82,62,18,2.82,few clouds
84,Kralendijk,BQ,12.15,-68.2667,82.38,78,40,23.02,scattered clouds
85,Port Hedland,AU,-20.3167,118.5667,71.65,64,51,12.66,broken clouds
86,Nikolskoye,RU,59.7035,30.7861,40.91,84,85,4.99,overcast clouds
87,Byron Bay,AU,-28.65,153.6167,63.72,83,49,8.68,scattered clouds
88,Emba,KZ,48.8264,58.1442,51.48,64,63,11.43,broken clouds
89,Bolitoc,PH,15.7395,119.8769,83.8,75,86,5.01,overcast clouds
90,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,75,12.66,light rain
91,Hami,CN,42.8,93.45,80.31,12,100,2.19,overcast clouds
92,Port Moresby,PG,-9.4431,147.1797,74.62,94,100,11.5,overcast clouds
93,Kastamonu,TR,41.5,33.6667,45.46,85,0,1.97,clear sky
94,Acapulco,MX,16.8634,-99.8901,85.82,66,75,9.22,broken clouds
95,Rioja,AR,-29.4111,-66.8507,57.38,61,70,6.55,broken clouds
96,Jamestown,US,42.097,-79.2353,72.99,61,40,12.66,scattered clouds
97,Mahebourg,MU,-20.4081,57.7,70.09,88,20,3.44,few clouds
98,Muroto,JP,33.2833,134.15,71.02,83,96,9.08,overcast clouds
99,Jalu,LY,29.0331,21.5482,83.79,11,0,8.59,clear sky
100,Elhovo,BG,42.1667,26.5667,61.21,89,68,1.48,broken clouds
101,Urumqi,CN,43.801,87.6005,76.15,36,0,2.24,clear sky
102,Asau,RO,46.4333,26.4,63.95,75,48,6.62,scattered clouds
103,Pont-Sainte-Maxence,FR,49.3017,2.6047,61.81,83,100,9.33,overcast clouds
104,Siniscola,IT,40.5719,9.6922,69.35,87,94,5.66,overcast clouds
105,Moranbah,AU,-22.0016,148.0466,68.07,70,97,13.78,overcast clouds
106,Brae,GB,60.3964,-1.353,47.79,81,40,19.51,scattered clouds
107,Aljezur,PT,37.3191,-8.8033,61.09,62,12,7.43,few clouds
108,Baykit,RU,61.67,96.37,52.09,76,75,4.14,broken clouds
109,Gohpur,IN,26.8833,93.6333,75.87,88,94,1.36,overcast clouds
110,Saint-Augustin,CA,51.226,-58.6502,49.53,81,100,6.22,overcast clouds
111,Constitucion,CL,-35.3333,-72.4167,50.29,75,59,7.65,broken clouds
112,Grand Gaube,MU,-20.0064,57.6608,70.2,65,45,10.92,scattered clouds
113,Geraldton,AU,-28.7667,114.6,61.21,77,100,11.5,overcast clouds
114,Saint-Georges,GD,12.0564,-61.7485,82.08,74,75,17.27,broken clouds
115,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,8.05,broken clouds
116,Uetendorf,CH,46.7739,7.5725,53.91,79,75,1.14,broken clouds
117,Saint-Joseph,RE,-21.3667,55.6167,70.18,76,18,2.71,few clouds
118,Tuatapere,NZ,-46.1333,167.6833,47.71,68,65,0.81,broken clouds
119,Palmerston,AU,-12.486,130.9833,79.93,84,75,5.75,broken clouds
120,Harrismith,ZA,-28.2728,29.1295,45.5,67,0,5.17,clear sky
121,Grinnell,US,41.743,-92.7224,62.58,98,100,11.5,overcast clouds
122,Babushkin,RU,51.7122,105.8647,55.11,57,39,2.39,scattered clouds
123,Trat,TH,12.5,102.5,85.87,92,100,0.98,overcast clouds
124,Faanui,PF,-16.4833,-151.75,80.96,67,1,11.92,clear sky
125,Ilulissat,GL,69.2167,-51.1,35.62,55,100,0.0,overcast clouds
126,Alugan,PH,12.2188,125.4808,83.5,76,98,7.96,overcast clouds
127,Opuwo,NA,-18.0607,13.84,57.24,33,0,4.7,clear sky
128,Tsiroanomandidy,MG,-18.7667,46.0333,60.51,82,0,2.59,clear sky
129,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,0,6.91,clear sky
130,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,6,5.01,clear sky
131,Kidal,ML,18.4411,1.4078,87.58,31,87,13.8,overcast clouds
132,Codrington,AU,-38.2667,141.9667,58.69,83,73,13.85,broken clouds
133,Aksu,CN,41.1231,80.2644,73.67,30,18,4.74,few clouds
134,Sabha,LY,27.0377,14.4283,86.61,11,64,7.87,broken clouds
135,Dhidhdhoo,MV,6.8833,73.1,82.35,77,100,10.54,light rain
136,Flinders,AU,-34.5833,150.8552,60.39,93,100,5.99,overcast clouds
137,Ribeira Grande,PT,38.5167,-28.7,62.24,76,8,15.19,clear sky
138,Emerald,AU,-23.5333,148.1667,68.34,74,5,8.23,clear sky
139,Aksarka,RU,66.5606,67.7975,43.99,66,100,12.97,overcast clouds
140,Georgetown,MY,5.4112,100.3354,80.53,87,20,2.3,few clouds
141,Port Lincoln,AU,-34.7333,135.8667,60.78,77,10,10.11,clear sky
142,Atuona,PF,-9.8,-139.0333,78.44,76,15,19.86,few clouds
143,Saskylakh,RU,71.9167,114.0833,25.47,88,83,4.29,broken clouds
144,Baculin,PH,7.4525,126.5842,75.27,96,100,2.33,overcast clouds
145,Marsh Harbour,BS,26.5412,-77.0636,78.22,72,46,15.64,scattered clouds
146,Moree,AU,-29.4667,149.85,63.28,62,32,5.55,scattered clouds
147,Vardo,NO,70.3705,31.1107,39.18,87,81,9.22,broken clouds
148,Isangel,VU,-19.55,169.2667,81.1,68,14,4.45,few clouds
149,Fort Nelson,CA,58.8053,-122.7002,54.99,58,75,0.0,broken clouds
150,Listvyanskiy,RU,54.4399,83.4984,60.94,72,61,13.15,broken clouds
151,Tessalit,ML,20.1986,1.0114,86.95,28,97,7.76,overcast clouds
152,Lagoa,PT,39.05,-27.9833,61.03,78,0,13.78,clear sky
153,Kavaratti,IN,10.5669,72.642,82.94,79,71,10.71,broken clouds
154,Newport,GB,51.5877,-2.9984,55.51,88,39,7.74,scattered clouds
155,Vezirkopru,TR,41.1436,35.4547,50.49,87,0,0.87,clear sky
156,Enshi,CN,30.3,109.4833,63.0,96,100,0.92,overcast clouds
157,Ocos,GT,14.5094,-92.1933,81.0,79,100,13.6,overcast clouds
158,Gambiran,ID,-6.7988,111.4951,78.01,85,100,3.2,overcast clouds
159,Guerrero Negro,MX,27.9769,-114.0611,69.49,61,0,17.11,clear sky
160,Namatanai,PG,-3.6667,152.4333,84.09,66,88,3.18,overcast clouds
161,Lavrentiya,RU,65.5833,-171.0,41.79,84,100,7.34,overcast clouds
162,Okhotsk,RU,59.3833,143.3,35.85,96,100,4.61,overcast clouds
163,Victoria,HK,22.2855,114.1577,80.65,91,33,5.01,scattered clouds
164,Coahuayana,MX,18.7333,-103.6833,81.77,66,99,6.35,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,42.82,80,100,8.61,overcast clouds
166,Dakar,SN,14.6937,-17.4441,71.73,88,40,9.22,scattered clouds
167,Iguape,BR,-24.7081,-47.5553,64.71,87,0,5.26,clear sky
168,Ostrovnoy,RU,68.0531,39.5131,34.84,99,45,7.05,scattered clouds
169,Rudnya,RU,54.947,31.0934,49.53,86,96,6.8,overcast clouds
170,La Crosse,US,43.8014,-91.2396,58.41,94,100,3.44,overcast clouds
171,Rio Grande,BR,-32.035,-52.0986,60.94,98,100,7.85,light rain
172,Chicama,PE,-7.8447,-79.1469,61.34,81,12,6.6,few clouds
173,Kabinda,CD,-6.1333,24.4833,65.43,97,77,2.24,broken clouds
174,Bengkulu,ID,-3.8004,102.2655,74.64,80,100,4.12,overcast clouds
175,Lively,CA,46.4334,-81.1498,62.02,59,100,4.56,moderate rain
176,Cairo,EG,30.0626,31.2497,74.16,60,0,5.75,clear sky
177,Bembereke,BJ,10.2283,2.6634,75.13,75,62,7.0,broken clouds
178,Ossora,RU,59.2353,163.0719,39.6,88,100,4.74,overcast clouds
179,Kampot,KH,10.6167,104.1833,84.25,83,100,9.8,overcast clouds
180,Provideniya,RU,64.3833,-173.3,35.71,87,20,6.71,fog
181,Aklavik,CA,68.2191,-135.0107,50.18,53,43,1.14,scattered clouds
182,Kaitangata,NZ,-46.2817,169.8464,45.48,70,88,8.21,overcast clouds
183,Agadir,MA,30.4202,-9.5982,64.85,78,94,7.0,overcast clouds
184,Killin,US,33.6123,-91.7412,78.89,61,40,11.5,scattered clouds
185,Aquiraz,BR,-3.9014,-38.3911,80.19,84,91,7.18,overcast clouds
186,Ola,RU,59.5833,151.2833,41.14,98,100,11.01,light rain
187,Kodiak,US,57.79,-152.4072,51.31,76,0,9.22,clear sky
188,Ketchikan,US,55.3422,-131.6461,61.27,41,75,8.05,broken clouds
189,Verkhnevilyuysk,RU,63.4453,120.3167,40.46,68,58,7.99,broken clouds
190,Murmashi,RU,68.8154,32.8115,39.61,75,0,4.47,clear sky
191,Verkh-Suetka,RU,53.3,80.05,61.36,59,5,10.16,clear sky
192,Edgewater,US,28.9889,-80.9023,83.12,74,20,19.57,few clouds
193,Laguna,US,38.421,-121.4238,103.95,17,0,4.61,clear sky
194,Mangalam,IN,9.7667,78.6667,83.3,75,5,8.1,clear sky
195,Gao,ML,16.6362,1.637,87.19,27,60,5.88,broken clouds
196,Salalah,OM,17.0151,54.0924,82.49,83,40,4.61,scattered clouds
197,Batagay-Alyta,RU,67.8006,130.4114,26.74,82,93,15.64,overcast clouds
198,Takoradi,GH,4.8845,-1.7554,78.62,81,100,4.45,overcast clouds
199,Pontianak,ID,-0.0333,109.3333,73.38,94,40,2.3,light rain
200,Belmonte,BR,-15.8631,-38.8828,73.2,84,18,10.42,few clouds
201,Rawson,AR,-43.3002,-65.1023,43.77,36,0,9.26,clear sky
202,Vaitape,PF,-16.5167,-151.75,80.87,67,4,11.95,clear sky
203,Syrskoye,RU,52.5744,39.4966,43.61,81,79,7.27,broken clouds
204,College,US,64.8569,-147.8028,67.46,33,75,16.11,broken clouds
205,Zhigansk,RU,66.7697,123.3711,33.98,71,51,24.76,broken clouds
206,Nalut,LY,30.3333,10.85,82.74,9,1,6.31,clear sky
207,Jiuquan,CN,39.7432,98.5174,63.68,15,100,5.7,overcast clouds
208,Sorland,NO,67.667,12.6934,46.26,89,98,13.15,overcast clouds
209,Port Hueneme,US,34.1478,-119.1951,89.51,77,100,11.5,overcast clouds
210,Voloshka,RU,61.3314,40.0858,36.03,98,95,6.4,overcast clouds
211,Kawalu,ID,-7.3817,108.2082,74.05,90,100,2.08,overcast clouds
212,Sitka,US,57.0531,-135.33,55.29,58,100,16.11,overcast clouds
213,Waingapu,ID,-9.6567,120.2641,81.48,77,99,11.36,overcast clouds
214,Vavuniya,LK,8.7514,80.4971,76.78,89,56,7.43,broken clouds
215,Sorong,ID,-0.8833,131.25,78.84,84,100,9.33,overcast clouds
216,Bethel,US,41.3712,-73.414,63.88,68,82,6.53,broken clouds
217,Sibolga,ID,1.7427,98.7792,77.11,77,100,3.02,overcast clouds
218,Qaqortoq,GL,60.7167,-46.0333,35.08,74,3,4.92,clear sky
219,Griffith,US,41.5284,-87.4237,75.29,76,75,24.16,moderate rain
220,Erzin,TR,36.9559,36.2,66.22,64,0,3.4,clear sky
221,Pocone,BR,-16.2567,-56.6228,76.89,50,5,2.68,clear sky
222,Basco,PH,20.4487,121.9702,83.41,78,100,10.54,overcast clouds
223,Japura,ID,-0.3167,102.35,74.64,98,100,2.26,overcast clouds
224,Klaksvik,FO,62.2266,-6.589,47.32,78,20,17.74,few clouds
225,Merauke,ID,-8.4667,140.3333,82.98,69,56,8.05,broken clouds
226,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,81,100,10.36,overcast clouds
227,Nouadhibou,MR,20.931,-17.0347,66.18,88,1,17.27,clear sky
228,Upernavik,GL,72.7868,-56.1549,24.15,61,87,5.7,overcast clouds
229,Nyakabindi,TZ,-2.6333,33.9833,62.37,96,98,4.29,light rain
230,East London,ZA,-33.0153,27.9116,63.7,71,30,14.92,scattered clouds
231,Havelock,US,34.8791,-76.9013,69.75,90,100,10.36,overcast clouds
232,Melo,UY,-32.3667,-54.1833,59.81,98,100,4.16,light rain
233,Srednekolymsk,RU,67.45,153.6833,48.79,55,27,16.69,scattered clouds
234,Camalu,MX,30.85,-116.0667,68.36,63,0,6.08,clear sky
235,Moengo,SR,5.6167,-54.4,74.53,97,47,2.53,scattered clouds
236,Jose Bonifacio,BR,-21.0528,-49.6883,72.66,45,0,6.8,clear sky
237,Gat,IL,31.61,34.7642,76.41,76,0,5.61,clear sky
238,Yantal,RU,56.8471,105.2542,55.96,82,81,9.26,broken clouds
239,Calama,CL,-22.4667,-68.9333,59.49,4,0,6.91,clear sky
240,Paraiso,CR,9.8383,-83.8656,67.42,98,100,0.85,overcast clouds
241,Areia Branca,BR,-4.9561,-37.1369,76.62,86,100,12.37,overcast clouds
242,Ukiah,US,39.1502,-123.2078,98.49,16,0,9.22,clear sky
243,Plouzane,FR,48.3833,-4.6167,55.45,97,100,9.22,light intensity drizzle
244,Rorvik,NO,64.8621,11.2373,49.05,75,100,9.73,overcast clouds
245,Hervey Bay,AU,-25.2986,152.8535,69.03,92,62,5.99,broken clouds
246,Pisco,PE,-13.7,-76.2167,64.45,77,20,3.44,few clouds
247,Hirara,JP,24.8,125.2833,75.47,100,75,6.91,shower rain
248,Solnechnyy,RU,50.7214,136.6319,65.77,38,39,3.69,scattered clouds
